Iso3_code,Country,Region,Subregion,Indicator,Dimension,Category,Sex,Age,Year,Unit of measurement,VALUE,Source
GBR_S,United Kingdom (Scotland),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2011,Counts,219,CTS
GRC,Greece,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2011,Counts,158,CTS
HRV,Croatia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2011,Counts,6,CTS
HUN,Hungary,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2011,Counts,12,CTS
IRL,Ireland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2011,Counts,109,CTS
ITA,Italy,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2011,Counts,356,CTS
LIE,Liechtenstein,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2011,Counts,0,CTS
LTU,Lithuania,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2011,Counts,48,CTS
LUX,Luxembourg,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2011,Counts,47,CTS
LVA,Latvia,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2011,Counts,7,CTS
MDA,Republic of Moldova,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2011,Counts,51,CTS
MKD,North Macedonia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2011,Counts,14,CTS
MLT,Malta,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2011,Counts,0,CTS
MNE,Montenegro,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2011,Counts,3,CTS
NLD,Netherlands,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2011,Counts,560,CTS
POL,Poland,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2011,Counts,11,CTS
PRT,Portugal,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2011,Counts,507,CTS
ROU,Romania,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2011,Counts,307,CTS
RUS,Russian Federation,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2011,Counts,520,CTS
SRB,Serbia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2011,Counts,9,CTS
SVK,Slovakia,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2011,Counts,4,CTS
SVN,Slovenia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2011,Counts,2,CTS
VAT,Holy See,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2011,Counts,0,CTS
XKX,Kosovo under UNSCR 1244,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2011,Counts,31,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,2,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,0,CTS
AUT,Austria,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,11,CTS
BEL,Belgium,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,1185,CTS
BGR,Bulgaria,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,75,CTS
BIH,Bosnia and Herzegovina,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,2,CTS
BLR,Belarus,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,6,CTS
CHE,Switzerland,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,5,CTS
CZE,Czechia,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,8,CTS
DEU,Germany,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,5183,CTS
ESP,Spain,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,118,CTS
EST,Estonia,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,0,CTS
FIN,Finland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,1,CTS
FRA,France,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,2117,CTS
GBR_E_W,United Kingdom (England and Wales),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,1388,CTS
GBR_NI,United Kingdom (Northern Ireland),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,45,CTS
GBR_S,United Kingdom (Scotland),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,227,CTS
GRC,Greece,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,139,CTS
HRV,Croatia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,6,CTS
HUN,Hungary,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,9,CTS
IRL,Ireland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,101,CTS
ITA,Italy,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,341,CTS
LIE,Liechtenstein,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,0,CTS
LTU,Lithuania,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,65,CTS
LUX,Luxembourg,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,57,CTS
LVA,Latvia,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,1,CTS
MDA,Republic of Moldova,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,92,CTS
MKD,North Macedonia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,19,CTS
MLT,Malta,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,0,CTS
MNE,Montenegro,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,0,CTS
NLD,Netherlands,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,585,CTS
POL,Poland,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,27,CTS
PRT,Portugal,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,419,CTS
ROU,Romania,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,391,CTS
RUS,Russian Federation,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,512,CTS
SRB,Serbia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,11,CTS
SVK,Slovakia,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,7,CTS
SVN,Slovenia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,4,CTS
VAT,Holy See,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,0,CTS
XKX,Kosovo under UNSCR 1244,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,33,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,5,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,0,CTS
AUT,Austria,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,4,CTS
BEL,Belgium,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,1163,CTS
BGR,Bulgaria,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,87,CTS
BIH,Bosnia and Herzegovina,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,5,CTS
BLR,Belarus,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,13,CTS
CHE,Switzerland,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,3,CTS
CZE,Czechia,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,11,CTS
DEU,Germany,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,4929,CTS
ESP,Spain,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,121,CTS
EST,Estonia,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,1,CTS
FIN,Finland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,1,CTS
FRA,France,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,2266,CTS
GBR_E_W,United Kingdom (England and Wales),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,1728,CTS
GBR_NI,United Kingdom (Northern Ireland),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,59,CTS
GBR_S,United Kingdom (Scotland),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,253,CTS
GRC,Greece,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,95,CTS
HRV,Croatia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,1,CTS
HUN,Hungary,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,7,CTS
IRL,Ireland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,81,CTS
ITA,Italy,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,325,CTS
LIE,Liechtenstein,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,0,CTS
LTU,Lithuania,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,46,CTS
LUX,Luxembourg,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,48,CTS
LVA,Latvia,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,18,CTS
MDA,Republic of Moldova,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,116,CTS
MKD,North Macedonia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,18,CTS
MLT,Malta,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,0,CTS
MNE,Montenegro,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,1,CTS
NLD,Netherlands,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,524,CTS
POL,Poland,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,445,CTS
PRT,Portugal,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,432,CTS
ROU,Romania,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,310,CTS
RUS,Russian Federation,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,442,CTS
SRB,Serbia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,9,CTS
SVK,Slovakia,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,78,CTS
SVN,Slovenia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,4,CTS
VAT,Holy See,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,0,CTS
XKX,Kosovo under UNSCR 1244,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,34,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,2,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,1,CTS
AUT,Austria,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,1,CTS
BEL,Belgium,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,1151,CTS
BGR,Bulgaria,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,95,CTS
BIH,Bosnia and Herzegovina,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,3,CTS
BLR,Belarus,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,31,CTS
CHE,Switzerland,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,1,CTS
CZE,Czechia,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,15,CTS
DEU,Germany,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,4988,CTS
ESP,Spain,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,99,CTS
EST,Estonia,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,0,CTS
FIN,Finland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,1,CTS
FRA,France,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,2956,CTS
GBR_E_W,United Kingdom (England and Wales),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,2189,CTS
GBR_NI,United Kingdom (Northern Ireland),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,44,CTS
GBR_S,United Kingdom (Scotland),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,234,CTS
GRC,Greece,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,58,CTS
HRV,Croatia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,1,CTS
HUN,Hungary,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,3,CTS
IRL,Ireland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,53,CTS
ITA,Italy,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,297,CTS
LIE,Liechtenstein,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,0,CTS
LTU,Lithuania,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,0,CTS
LUX,Luxembourg,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,52,CTS
LVA,Latvia,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,17,CTS
MCO,Monaco,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,0,CTS
MDA,Republic of Moldova,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,88,CTS
MKD,North Macedonia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,8,CTS
MLT,Malta,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,0,CTS
MNE,Montenegro,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,0,CTS
NLD,Netherlands,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,414,CTS
POL,Poland,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,292,CTS
PRT,Portugal,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,376,CTS
ROU,Romania,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,290,CTS
RUS,Russian Federation,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,325,CTS
SRB,Serbia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,12,CTS
SVK,Slovakia,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,83,CTS
SVN,Slovenia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,5,CTS
VAT,Holy See,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,0,CTS
XKX,Kosovo under UNSCR 1244,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,26,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,8,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,0,CTS
AUT,Austria,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,3,CTS
BEL,Belgium,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,1171,CTS
BGR,Bulgaria,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,74,CTS
BIH,Bosnia and Herzegovina,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,0,CTS
BLR,Belarus,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,31,CTS
CHE,Switzerland,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,4,CTS
CZE,Czechia,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,12,CTS
DEU,Germany,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,4763,CTS
ESP,Spain,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,93,CTS
EST,Estonia,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,0,CTS
FIN,Finland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,1,CTS
FRA,France,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,3818,CTS
GBR_E_W,United Kingdom (England and Wales),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,3019,CTS
GBR_NI,United Kingdom (Northern Ireland),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,65,CTS
GBR_S,United Kingdom (Scotland),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,228,CTS
GRC,Greece,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,89,CTS
HRV,Croatia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,0,CTS
IRL,Ireland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,92,CTS
ITA,Italy,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,287,CTS
LIE,Liechtenstein,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,0,CTS
LTU,Lithuania,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,0,CTS
LUX,Luxembourg,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,53,CTS
LVA,Latvia,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,17,CTS
MCO,Monaco,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,1,CTS
MKD,North Macedonia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,11,CTS
MLT,Malta,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,0,CTS
MNE,Montenegro,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,0,CTS
NLD,Netherlands,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,435,CTS
POL,Poland,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,246,CTS
PRT,Portugal,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,369,CTS
ROU,Romania,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,295,CTS
RUS,Russian Federation,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,344,CTS
SRB,Serbia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,14,CTS
SVK,Slovakia,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,85,CTS
SVN,Slovenia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,3,CTS
VAT,Holy See,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,0,CTS
XKX,Kosovo under UNSCR 1244,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,24,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,4,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,0,CTS
AUT,Austria,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,2,CTS
BEL,Belgium,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,1201,CTS
BGR,Bulgaria,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,70,CTS
BIH,Bosnia and Herzegovina,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,1,CTS
BLR,Belarus,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,29,CTS
CHE,Switzerland,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,3,CTS
CZE,Czechia,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,18,CTS
DEU,Germany,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,4756,CTS
ESP,Spain,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,94,CTS
FIN,Finland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,3,CTS
FRA,France,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,3818,CTS
GBR_E_W,United Kingdom (England and Wales),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,3849,CTS
GBR_NI,United Kingdom (Northern Ireland),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,81,CTS
GBR_S,United Kingdom (Scotland),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,230,CTS
GRC,Greece,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,61,CTS
HRV,Croatia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,1,CTS
HUN,Hungary,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,5,CTS
IRL,Ireland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,74,CTS
ITA,Italy,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,197,CTS
LIE,Liechtenstein,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,0,CTS
LTU,Lithuania,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,0,CTS
LUX,Luxembourg,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,50,CTS
LVA,Latvia,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,8,CTS
MCO,Monaco,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,1,CTS
MKD,North Macedonia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,10,CTS
MLT,Malta,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,0,CTS
MNE,Montenegro,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,2,CTS
NLD,Netherlands,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,420,CTS
PRT,Portugal,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,296,CTS
ROU,Romania,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,346,CTS
RUS,Russian Federation,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,292,CTS
SRB,Serbia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,8,CTS
SVK,Slovakia,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,102,CTS
SVN,Slovenia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,3,CTS
XKX,Kosovo under UNSCR 1244,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,22,CTS
ALB,Albania,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2017,Counts,2,CTS
AND,Andorra,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2017,Counts,0,CTS
AUT,Austria,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2017,Counts,3,CTS
BEL,Belgium,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2017,Counts,1170,CTS
BGR,Bulgaria,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2017,Counts,102,CTS
BIH,Bosnia and Herzegovina,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2017,Counts,0,CTS
BLR,Belarus,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2017,Counts,21,CTS
CHE,Switzerland,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2017,Counts,3,CTS
CZE,Czechia,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2017,Counts,17,CTS
DEU,Germany,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2017,Counts,4625,CTS
ESP,Spain,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2017,Counts,69,CTS
EST,Estonia,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2017,Counts,0,CTS
FIN,Finland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2017,Counts,2,CTS
