Name,Region,GENC,Year,Population,,,,
Slovakia,Europe,SK,2014,"5,451,848",,,,
Slovenia,Europe,SI,2014,"2,097,579",,,,
Spain,Europe,ES,2014,"46,151,087",,,,
Sweden,Europe,SE,2014,"9,736,574",,,,
Switzerland,Europe,CH,2014,"8,212,709",,,,
Ukraine,Europe,UA,2014,"44,939,342",,,,
United Kingdom,Europe,GB,2014,"64,346,449",,,,
Total EU Pop.,Europe,,2014,"744,782,244",,,,
Bermuda,Northern America,BM,2014,"69,906",,,,
Canada,Northern America,CA,2014,"35,748,891",,,,
United States,Northern America,US,2014,"318,386,329",,,,
Mexico,Northern America,MX,2014,"120,751,101",,,,
Total NA Pop.,Northern America,,2014,"474,956,227",,,,
Albania,Europe,AL,2015,"3,036,304",,,,
Andorra,Europe,AD,2015,"85,690",,,,
Austria,Europe,AT,2015,"8,664,442",,,,
Belarus,Europe,BY,2015,"9,678,951",,,,
Belgium,Europe,BE,2015,"11,319,441",,,,
Bosnia and Herzegovina,Europe,BA,2015,"3,865,491",,,,
Bulgaria,Europe,BG,2015,"7,186,710",,,,
Croatia,Europe,HR,2015,"4,335,285",,,,
Czechia,Europe,CZ,2015,"10,623,181",,,,
Denmark,Europe,DK,2015,"5,688,232",,,,
Estonia,Europe,EE,2015,"1,265,255",,,,
Faroe Islands,Europe,FO,2015,"50,187",,,,
Finland,Europe,FI,2015,"5,477,371",,,,
France,Europe,FR,2015,"66,561,235",,,,
Germany,Europe,DE,2015,"83,106,944",,,,
Gibraltar,Europe,GI,2015,"29,137",,,,
Greece,Europe,GR,2015,"10,728,157",,,,
Guernsey,Europe,GG,2015,"66,187",,,,
Hungary,Europe,HU,2015,"10,002,058",,,,
Iceland,Europe,IS,2015,"331,919",,,,
Ireland,Europe,IE,2015,"4,756,303",,,,
Isle of Man,Europe,IM,2015,"87,418",,,,
Italy,Europe,IT,2015,"61,512,589",,,,
Jersey,Europe,JE,2015,"97,084",,,,
Kosovo,Europe,XK,2015,"1,870,354",,,,
Latvia,Europe,LV,2015,"1,986,717",,,,
Liechtenstein,Europe,LI,2015,"37,625",,,,
Lithuania,Europe,LT,2015,"2,884,632",,,,
Luxembourg,Europe,LU,2015,"570,327",,,,
Malta,Europe,MT,2015,"434,537",,,,
Moldova,Europe,MD,2015,"3,847,644",,,,
Monaco,Europe,MC,2015,"30,573",,,,
Montenegro,Europe,ME,2015,"619,723",,,,
Netherlands,Europe,NL,2015,"16,897,098",,,,
North Macedonia,Europe,MK,2015,"2,105,107",,,,
Norway,Europe,NO,2015,"5,192,607",,,,
Poland,Europe,PL,2015,"38,541,785",,,,
Portugal,Europe,PT,2015,"10,433,546",,,,
Romania,Europe,RO,2015,"19,873,138",,,,
Russia,Europe,RU,2015,"144,071,341",,,,
San Marino,Europe,SM,2015,"33,010",,,,
Serbia,Europe,RS,2015,"7,052,916",,,,
Slovakia,Europe,SK,2015,"5,456,999",,,,
Slovenia,Europe,SI,2015,"2,099,131",,,,
Spain,Europe,ES,2015,"46,117,462",,,,
Sweden,Europe,SE,2015,"9,838,542",,,,
Switzerland,Europe,CH,2015,"8,282,143",,,,
Ukraine,Europe,UA,2015,"44,409,198",,,,
United Kingdom,Europe,GB,2015,"64,868,357",,,,
Total EU Pop.,Europe,,2015,"746,110,083",,,,
Bermuda,Northern America,BM,2015,"70,260",,,,
Canada,Northern America,CA,2015,"36,069,803",,,,
United States,Northern America,US,2015,"320,738,994",,,,
Mexico,Northern America,MX,2015,"122,200,093",,,,
Total NA Pop.,Northern America,,2015,"479,079,150",,,,
Albania,Europe,AL,2016,"3,045,854",,,,
Andorra,Europe,AD,2016,"85,771",,,,
Austria,Europe,AT,2016,"8,710,175",,,,
Belarus,Europe,BY,2016,"9,690,871",,,,
Belgium,Europe,BE,2016,"11,401,905",,,,
Bosnia and Herzegovina,Europe,BA,2016,"3,859,923",,,,
Bulgaria,Europe,BG,2016,"7,144,269",,,,
Croatia,Europe,HR,2016,"4,313,911",,,,
Czechia,Europe,CZ,2016,"10,643,453",,,,
Denmark,Europe,DK,2016,"5,733,361",,,,
Estonia,Europe,EE,2016,"1,258,272",,,,
Faroe Islands,Europe,FO,2016,"50,447",,,,
Finland,Europe,FI,2016,"5,499,022",,,,
France,Europe,FR,2016,"66,809,791",,,,
Germany,Europe,DE,2016,"83,823,029",,,,
Gibraltar,Europe,GI,2016,"29,206",,,,
Greece,Europe,GR,2016,"10,703,982",,,,
Guernsey,Europe,GG,2016,"66,411",,,,
Hungary,Europe,HU,2016,"10,078,984",,,,
Iceland,Europe,IS,2016,"335,881",,,,
Ireland,Europe,IE,2016,"4,808,974",,,,
Isle of Man,Europe,IM,2016,"88,060",,,,
Italy,Europe,IT,2016,"61,499,222",,,,
Jersey,Europe,JE,2016,"97,836",,,,
Kosovo,Europe,XK,2016,"1,882,352",,,,
Latvia,Europe,LV,2016,"1,965,848",,,,
Liechtenstein,Europe,LI,2016,"37,938",,,,
Lithuania,Europe,LT,2016,"2,855,139",,,,
Luxembourg,Europe,LU,2016,"582,432",,,,
Malta,Europe,MT,2016,"439,578",,,,
Moldova,Europe,MD,2016,"3,801,856",,,,
Monaco,Europe,MC,2016,"30,632",,,,
Montenegro,Europe,ME,2016,"618,126",,,,
Netherlands,Europe,NL,2016,"16,987,697",,,,
North Macedonia,Europe,MK,2016,"2,110,184",,,,
Norway,Europe,NO,2016,"5,238,793",,,,
Poland,Europe,PL,2016,"38,514,598",,,,
Portugal,Europe,PT,2016,"10,400,888",,,,
Romania,Europe,RO,2016,"19,722,552",,,,
Russia,Europe,RU,2016,"144,133,052",,,,
San Marino,Europe,SM,2016,"33,279",,,,
Serbia,Europe,RS,2016,"7,015,855",,,,
Slovakia,Europe,SK,2016,"5,463,996",,,,
Slovenia,Europe,SI,2016,"2,100,372",,,,
Spain,Europe,ES,2016,"46,159,139",,,,
Sweden,Europe,SE,2016,"9,961,459",,,,
Switzerland,Europe,CH,2016,"8,354,268",,,,
Ukraine,Europe,UA,2016,"44,161,657",,,,
United Kingdom,Europe,GB,2016,"65,344,284",,,,
Total EU Pop.,Europe,,2016,"747,694,584",,,,
Bermuda,Northern America,BM,2016,"70,601",,,,
Canada,Northern America,CA,2016,"36,404,804",,,,
United States,Northern America,US,2016,"323,071,755",,,,
Mexico,Northern America,MX,2016,"123,576,658",,,,
Total NA Pop.,Northern America,,2016,"483,123,818",,,,
Albania,Europe,AL,2017,"3,055,278",,,,
Andorra,Europe,AD,2017,"85,811",,,,
Austria,Europe,AT,2017,"8,752,360",,,,
Belarus,Europe,BY,2017,"9,687,585",,,,
Belgium,Europe,BE,2017,"11,482,059",,,,
Bosnia and Herzegovina,Europe,BA,2017,"3,853,839",,,,
Bulgaria,Europe,BG,2017,"7,100,884",,,,
Croatia,Europe,HR,2017,"4,292,667",,,,
Czechia,Europe,CZ,2017,"10,671,559",,,,
Denmark,Europe,DK,2017,"5,773,404",,,,
Estonia,Europe,EE,2017,"1,251,222",,,,
Faroe Islands,Europe,FO,2017,"50,722",,,,
Finland,Europe,FI,2017,"5,519,372",,,,
France,Europe,FR,2017,"67,094,479",,,,
Germany,Europe,DE,2017,"84,123,624",,,,
Gibraltar,Europe,GI,2017,"29,273",,,,
Greece,Europe,GR,2017,"10,698,002",,,,
Guernsey,Europe,GG,2017,"66,621",,,,
Hungary,Europe,HU,2017,"10,074,518",,,,
Iceland,Europe,IS,2017,"339,755",,,,
Ireland,Europe,IE,2017,"4,860,044",,,,
Isle of Man,Europe,IM,2017,"88,678",,,,
Italy,Europe,IT,2017,"61,498,899",,,,
Jersey,Europe,JE,2017,"98,586",,,,
Kosovo,Europe,XK,2017,"1,894,666",,,,
Latvia,Europe,LV,2017,"1,945,078",,,,
Liechtenstein,Europe,LI,2017,"38,245",,,,
Lithuania,Europe,LT,2017,"2,825,940",,,,
Luxembourg,Europe,LU,2017,"594,319",,,,
Malta,Europe,MT,2017,"444,458",,,,
Moldova,Europe,MD,2017,"3,740,498",,,,
Monaco,Europe,MC,2017,"30,711",,,,
Montenegro,Europe,ME,2017,"616,284",,,,
Netherlands,Europe,NL,2017,"17,089,200",,,,
North Macedonia,Europe,MK,2017,"2,114,687",,,,
Norway,Europe,NO,2017,"5,279,516",,,,
Poland,Europe,PL,2017,"38,504,942",,,,
Portugal,Europe,PT,2017,"10,370,571",,,,
Romania,Europe,RO,2017,"19,558,508",,,,
Russia,Europe,RU,2017,"144,157,561",,,,
San Marino,Europe,SM,2017,"33,536",,,,
Serbia,Europe,RS,2017,"6,978,391",,,,
Slovakia,Europe,SK,2017,"5,472,430",,,,
Slovenia,Europe,SI,2017,"2,101,369",,,,
Spain,Europe,ES,2017,"46,268,801",,,,
Sweden,Europe,SE,2017,"10,094,338",,,,
Switzerland,Europe,CH,2017,"8,418,657",,,,
Ukraine,Europe,UA,2017,"43,940,088",,,,
United Kingdom,Europe,GB,2017,"65,783,069",,,,
Total EU Pop.,Europe,,2017,"748,845,104",,,,
Bermuda,Northern America,BM,2017,"70,928",,,,
Canada,Northern America,CA,2017,"36,731,939",,,,
United States,Northern America,US,2017,"325,122,128",,,,
Mexico,Northern America,MX,2017,"124,883,590",,,,
Total NA Pop.,Northern America,,2017,"486,808,585",,,,
